Lipid_Component1,Lipid_Component2
0.5952771004967128,-0.08334738155492061
0.7481613391985102,-0.05837062242873956
0.6376283808308219,-0.019334960103468263
0.32969863421522405,0.023835776463871187
0.6566754001538146,0.0938073932957216
0.6825261366500736,-0.23097243676060555
0.45839737029005156,0.013278082021664228
0.35668218129375573,-0.13136744897473104
0.41527833043184814,0.01826657062079138
0.06796881699078823,-0.07151978836163066
0.45890857898769716,-0.07639869555354606
0.42677990986068237,0.1566036186478201
0.7718469741531233,-0.08173564321430395
0.7162834850648959,0.014275494115206556
0.6186506143930454,-0.12543581839002835
0.6747434487952605,-0.026255038238876455
0.6068457172323621,-0.20968317984004448
0.06646347100758578,-0.08613117639569601
0.5313738008909198,0.012556593901706483
0.32793751373407404,0.17480163152238887
-0.8779103276876677,-0.26209873499486236
-1.2036706229733993,0.41179865877722965
0.17541842051829526,0.39411377613020726
-0.9184530743849115,-0.15038377490380747
-0.1675177561217441,0.28271134914208773
-0.9501139668863112,0.10374527543941067
-0.2810484532656073,0.2554004825254188
-0.391674173079183,-0.057814042091558965
-0.6815659551173837,-0.053332891813287826
-0.36643688449759626,0.16309850292450195
-0.5739395479430502,0.034379045972043026
-0.929315995251738,-0.7258844719727092
-1.1393236755445446,0.13881534598001796
-0.4872719142138301,0.07995972834842069
-0.33645133306412556,0.07524707769111241
-0.5280898094994516,-0.39940576074807127
-1.0758008409193052,-0.031807035280646455
0.4509415059290001,-0.027456975216496867
0.05763023557103335,0.34415307295852565
0.07646696376027727,0.11788840035988286
